Hospital (Novartis),Address,City,State,Zip,rpt_rec_num,Designation,LATITUDE,LONGITUDE,State_Full,Number of Beds,County,Lookup,prostate_cancer_incidence,Demand Weight,Demand per Year
FLORIDA CANCER SPECIALISTS & RESEARCH INSTITUTE - GOOD SAMARITAN FLAGLER,1309 N FLAGLER DR, WEST PALM BEACH,FL,33401-3406,787703,1,26.71528678,-80.06791734,Florida,333,Palm Beach,FloridaPalm Beach County,17.6,5860.8,133
BOCA RATON REGIONAL HOSPITAL INC,LYNN CANCER INSTITUTE NUC MED DEPT 701 NW 13 ST, BOCA RATON,FL,33486,766632,1,26.34978542,-80.11456093,Florida,361,Palm Beach,FloridaPalm Beach County,17.6,6353.6,144
UNIVERSITY OF MIAMI HOSPITAL AND CLINICS / SYLVESTER COMPREHENSIVE CANCER CENTER,1475 N.W. 12TH AVENUE, MIAMI,FL,33136,788310,5,25.78500297,-80.20196507,Florida,538,Miami-Dade,FloridaMiami-Dade County,23.5,63215,1430
MIAMI CANCER INSTITUTE,8900 N. KENDALL DRIVE, MIAMI,FL,33176,798027,1,25.66121519,-80.36269164,Florida,672,Miami-Dade,FloridaMiami-Dade County,23.5,15792,357
ROCKY MOUNTAIN CANCER CENTERS LLC - BOULDER,4715 ARAPHOE AVE FL 1, BOULDER,CO,80303-1385,795451,1,40.00132422,-105.2338781,Colorado,139,,,26.7,3711.2999999999997,84
ROCKY MOUNTAIN CANCER CENTER,1800 WILLIAMS STREET, DENVER,CO,80218,,1,39.73342407,-104.9722672,Colorado,360,,,26.7,9612,217
INTERMOUNTAIN HEALTH CANCER CENTERS OF COLORADO LUTHERAN MEDICAL CENTER RADIATION ONCOLOGY,400 INDIANA STREET SUITE 220, GOLDEN,CO,80401,,1,39.73085393,-105.1940526,Colorado,360,,,26.7,9612,217
COLORADO UROLOGY,5275 DTC PARKWAY, GREENWOOD VILLAGE,CO,80111,,1,39.60974738,-104.881837,Colorado,360,,,26.7,9612,217
KAISER PERMANENTE LONE TREE,10240 PARK MEADOWS DR, LONE TREE,CO,80124,,1,39.54207138,-104.8891568,Colorado,360,,,26.7,9612,217
JUNE E NYLEN CANCER CENTER,230 NEBRASKA ST, SIOUX CITY,IA,51101,,1,42.49548624,-96.40194441,Iowa,360,,,33.82,12175.2,275
TETON CANCER INSTITUTE,1550 HOOPES AVE, IDAHO FALLS,ID,83404,,1,43.47007107,-112.011831,Idaho,360,,,29.34,10562.4,239
XCANCER,17607 GOLD PLZ, OMAHA,NE,68130-5606,,1,41.23584176,-96.18944097,Nebraska,360,,,27.54,9914.4,224
NEBRASKA UROLOGY,5500 PINE LAKE RD, LINCOLN,NE,68516,,1,40.74998867,-96.65177501,Nebraska,360,,,27.54,9914.4,224
NEBRASKA CANCER SPECIALISTS - OMAHA,17201 WRIGHT STREET SUITE 203, OMAHA,NE,68130,,1,41.23584176,-96.18944097,Nebraska,360,,,27.54,9914.4,224
CANCER PARTNERS OF NEBRASKA P.C.,4101 TIGER LILY RD STE 100, LINCOLN,NE,68516,,1,40.74998867,-96.65177501,Nebraska,360,,,27.54,9914.4,224
UROHEALTH PARTNERS,105 SOUTH 90TH STREET, OMAHA,NE,68114,,1,41.26498569,-96.05242621,Nebraska,360,,,27.54,9914.4,224
NEBRASKA MEDICINE,4400 EMILE ST, OMAHA,NE,68198,,5,41.25538055,-95.97889163,Nebraska,360,,,27.54,49572,1121
CENTRACARE HEALTH,1900 CENTRACARE CIRCLE, ST.CLOUD,MN,56304,,1,45.54969619,-94.12531946,Minnesota,360,,,23.6,8496,192
UTAH CANCER SPECIALISTS,3838 SOUTH 700 EAST SUITE 100, SALT LAKE CITY,UT,84106,,1,40.70576404,-111.8572604,Utah,360,,,30.34,10922.4,247
REVERE HEALTH,1055 N 500 W SUITE 102, PROVO,UT,84604,,1,40.26585915,-111.6573055,Utah,360,,,30.34,10922.4,247
MINNESOTA ONCOLOGY & HEMATOLOGY MAPLE GROVE,10150 NIAGARA LN N SUITE 100, MAPLE GROVE,MN,55369,,1,45.11382467,-93.43256511,Minnesota,360,,,23.6,8496,192
MINNESOTA UROLOGY,7500 FRANCE AVE S, EDINA,MN,55435-3400,,1,44.87377483,-93.32857668,Minnesota,360,,,23.6,8496,192
ALLINA HEALTH CANCER INSTITUTE - RADIATION ONCOLOGY MINNEAPOLIS,800 EAST 28TH STREET, MINNEAPOLIS,MN,55407,,1,44.93805085,-93.2548117,Minnesota,360,,,23.6,8496,192
MHEALTH FAIRVIEW UNIVERSITY OF MINNESOTA MEDICAL CENTER,500 HARVARD ST SE, MINNEAPOLIS,MN,55455,,5,44.97071,-93.2383135,Minnesota,360,,,23.6,42480,961
ALLINA HEALTH CANCER INSTITUTE - RADIATION ONCOLOGY ST. PAUL,310 NORTH SMITH AVENUE, SAINT PAUL,MN,55102,,1,44.93811491,-93.11851279,Minnesota,360,,,23.6,8496,192
REGIONS HOSPITAL,640 JACKSON ST FL 1, ST. PAUL,MN,55101-2502,,1,44.94903796,-93.09051228,Minnesota,360,,,23.6,8496,192
MC FARLAND CLINIC,1215 DUFF AVE, AMES,IA,50010,,1,42.03602503,-93.62207467,Iowa,360,,,33.82,12175.2,275
MISSION CANCER + BLOOD PART OF UNIVERSITY OF IOWA HEALTH CARE,2565 SE ENCOMPASS DR STE 100, WAUKEE,IA,50263-1299,,2,41.6013407,-93.86295796,Iowa,360,,,33.82,24350.4,551
UROLOGY CENTER OF IOWA PLLC,13375 UNIVERSITY AVE STE 100, CLIVE,IA,50325-8262,,1,41.60885666,-93.77869508,Iowa,360,,,33.82,12175.2,275
UNITY POINT HEALTH DES MOINES-JOHN STODDARD CANCER CENTER,1221 PLEASANT STREET SUITE A100, DES MOINES,IA,50309,,1,41.58717051,-93.62308688,Iowa,360,,,33.82,12175.2,275
LOGAN HEALTH KALISPELL,310 SUNNYVIEW LANE, KALISPELL,MT,59901,776753,1,48.20952446,-114.3038398,Montana,210,,,32.15,6751.5,153
MOSAIC LIFE CARE,5325 FARAON STREET NUCLEAR MEDICINE DEPT, SAINT JOSEPH,MO,64506-3488,,1,39.78968906,-94.80322775,Missouri,360,,,23.64,8510.4,193
WICHITA UROLOGY GROUP PA,2077 N WEBB RD, WICHITA,KS,67206,,1,37.70480373,-97.23614963,Kansas,360,,,23.6,8496,192
THE UNIVERSITY OF KANSAS CANCER CENTER,2650 SHAWNEE MISSION PARKWAY, FAIRWAY,KS,66205,,2,39.03185275,-94.63197714,Kansas,360,,,23.6,16992,384
RESEARCH MEDICAL CENTER,2316 EAST MEYER BLVD, KANSAS CITY,MO,64132,799147,1,38.98981078,-94.55179997,Missouri,306,,,23.64,7233.84,164
